Spanish,English
Espacioso,spacious
Estrecho,narrow
Extravertido,"extroverted/outgoing"
Feo,ugly
Gordo,fat
Grosero,rude
Guapo,"good-looking/handsome"
Hablador,talkative
Incómodo,uncomfortable
Indiscreto,indiscreet
Insensible,insensitive
Inteligente,intelligent
Interesante,interesting
Joven,young
Ligero,"light (weight)"
Limpio,clean
Luminoso,"bright/well-lit"
Maleducado,"impolite/ill-mannered"
Mayor,"older (age)"
Mentiroso,"lying/dishonest"
Moderno,modern
Modesto,modest
Moreno,"dark-haired/brunette"
Negro,black
Nuevo,new
Optimista,optimistic
Ordenado,"tidy/organized"
Oscuro,dark
Pobre,poor
Perezoso,lazy
Pesado,heavy
Pesimista,pessimistic
Rico,rich
Rubio,"blond(e)"
Ruidoso,"noisy/loud"
