Spanish,English
quinientos,500
setecientos,700
novecientos,900
quince,15
Abierto,open
Aburrido,boring/bored
Agradable,pleasant
Alegre,"cheerful/happy"
Alto,tall
Amable,"kind/friendly"
Ancho,wide
Antiguo,"old/ancient"
Antipático,"unfriendly/unpleasant"
Arrogante,arrogant
Bajo,"short (in height)"
Barato,cheap
Blanco,white
Borde,"rude (colloquial)"
Bueno,good
Caliente,hot
Callado,quiet
Caro,expensive
Cerrado,closed
Cobarde,"cowardly/coward"
Cómodo,comfortable
Creído,conceited
Delgado,"thin/slim"
Desagradable,unpleasant
Desordenado,"disorganized/messy"
Difícil,difficult
Discreto,discreet
Divertido,"fun/entertaining"
Educado,"polite/well-mannered"
Espacioso,spacious
