Spanish,English
Acostarse,"to go to bed / to lie down"
Levantarse,"to get up"
Ducharse,"to take a shower"
Lavarse las manos,"to wash one's hands"
Peinarse,"to comb one's hair"
Maquillarse,"to put on makeup"
Afeitarse,"to shave"
Vestirse,"to get dressed"
Despertarse,"to wake up"
Desvestirse,"to get undressed"
Estirarse,"to stretch"
Secarse el pelo,"to dry one's hair"
Sentarse,"to sit down"
Bañarse,"to bathe / to take a bath"
Mirarse en el espejo,"to look at oneself in the mirror"
Cepillarse los dientes,"to brush one's teeth"
